base_key,version_i,version_j,language_i,language_j,agent,p_i,p_j,expected_cofailures,observed_cofailures,ratio_obs_exp,phi_correlation,binomial_p
codex__m_gpt-5.1-codex-max__run000,codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.1-codex-max__l_python__run000,pascal,python,codex,2e-06,0.000421,0.000842,1,1187.6484560570073,0.03444054353444125,0.0008416456178245256
codex__m_gpt-5.1-codex-max__run000,codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,pascal,rust,codex,2e-06,0.000421,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07
codex__m_gpt-5.1-codex-max__run000,codex__m_gpt-5.1-codex-max__l_python__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,python,rust,codex,0.000421,0.000421,0.17724099999999998,420,2369.654876693316,0.9976237026667086,0.0
codex__m_gpt-5.1-codex__run000,codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.1-codex__l_python__run000,pascal,python,codex,0.000421,0.000421,0.17724099999999998,421,2375.2969121140145,1.0,0.0
codex__m_gpt-5.1-codex__run000,codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.1-codex__l_rust__run000,pascal,rust,codex,0.000421,0.000421,0.17724099999999998,421,2375.2969121140145,1.0,0.0
codex__m_gpt-5.1-codex__run000,codex__m_gpt-5.1-codex__l_python__run000,codex__m_gpt-5.1-codex__l_rust__run000,python,rust,codex,0.000421,0.000421,0.17724099999999998,421,2375.2969121140145,1.0,0.0
codex__m_gpt-5.2-codex__run000,codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.2-codex__l_python__run000,pascal,python,codex,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
codex__m_gpt-5.2-codex__run000,codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.2-codex__l_rust__run000,pascal,rust,codex,2e-06,2e-06,4e-06,0,0.0,-2.000004000008e-06,1.0
codex__m_gpt-5.2-codex__run000,codex__m_gpt-5.2-codex__l_python__run000,codex__m_gpt-5.2-codex__l_rust__run000,python,rust,codex,2e-06,2e-06,4e-06,0,0.0,-2.000004000008e-06,1.0
codex__m_gpt-5.2__run000,codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5.2__l_python__run000,pascal,python,codex,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
codex__m_gpt-5.2__run000,codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5.2__l_rust__run000,pascal,rust,codex,2e-06,0.0,0.0,0,,,
codex__m_gpt-5.2__run000,codex__m_gpt-5.2__l_python__run000,codex__m_gpt-5.2__l_rust__run000,python,rust,codex,2e-06,0.0,0.0,0,,,
codex__m_gpt-5.3-codex__run000,codex__m_gpt-5.3-codex__l_pascal__run000,codex__m_gpt-5.3-codex__l_python__run000,pascal,python,codex,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
codex__m_gpt-5.3-codex__run000,codex__m_gpt-5.3-codex__l_pascal__run000,codex__m_gpt-5.3-codex__l_rust__run000,pascal,rust,codex,2e-06,5.6e-05,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09
codex__m_gpt-5.3-codex__run000,codex__m_gpt-5.3-codex__l_python__run000,codex__m_gpt-5.3-codex__l_rust__run000,python,rust,codex,2e-06,5.6e-05,0.00011199999999999998,2,17857.14285714286,0.18897713390513676,6.27152543973988e-09
codex__m_gpt-5.4__run000,codex__m_gpt-5.4__l_pascal__run000,codex__m_gpt-5.4__l_python__run000,pascal,python,codex,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
codex__m_gpt-5.4__run000,codex__m_gpt-5.4__l_pascal__run000,codex__m_gpt-5.4__l_rust__run000,pascal,rust,codex,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
codex__m_gpt-5.4__run000,codex__m_gpt-5.4__l_python__run000,codex__m_gpt-5.4__l_rust__run000,python,rust,codex,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
codex__m_gpt-5__run000,codex__m_gpt-5__l_pascal__run000,codex__m_gpt-5__l_python__run000,pascal,python,codex,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
cursor__m_composer-1.5__run000,cursor__m_composer-1.5__l_pascal__run000,cursor__m_composer-1.5__l_rust__run000,pascal,rust,cursor,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
cursor__m_composer-2-fast__run000,cursor__m_composer-2-fast__l_pascal__run000,cursor__m_composer-2-fast__l_python__run000,pascal,python,cursor,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
cursor__m_composer-2-fast__run000,cursor__m_composer-2-fast__l_pascal__run000,cursor__m_composer-2-fast__l_rust__run000,pascal,rust,cursor,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
cursor__m_composer-2-fast__run000,cursor__m_composer-2-fast__l_python__run000,cursor__m_composer-2-fast__l_rust__run000,python,rust,cursor,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
cursor__m_composer-2__run000,cursor__m_composer-2__l_python__run000,cursor__m_composer-2__l_rust__run000,python,rust,cursor,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
cursor__m_grok-4-20__run000,cursor__m_grok-4-20__l_python__run000,cursor__m_grok-4-20__l_rust__run000,python,rust,cursor,0.000421,2e-06,0.000842,2,2375.2969121140145,0.06891011044422053,3.542827263665428e-07
gemini__m_gemini-3-flash-preview__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_python__run000,pascal,python,gemini,2e-06,2e-06,4e-06,1,250000.0,0.499998999998,3.9999920000186665e-06
gemini__m_gemini-3-flash-preview__run000,gemini__m_gemini-3-flash-preview__l_pascal__run000,gemini__m_gemini-3-flash-preview__l_rust__run000,pascal,rust,gemini,2e-06,2e-06,4e-06,2,500000.0,1.0,7.999970666762656e-12
gemini__m_gemini-3-flash-preview__run000,gemini__m_gemini-3-flash-preview__l_python__run000,gemini__m_gemini-3-flash-preview__l_rust__run000,python,rust,gemini,2e-06,2e-06,4e-06,1,250000.0,0.499998999998,3.9999920000186665e-06
opencode__m_qwen_qwen3.5-397b-a17b__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_python__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,python,rust,opencode,0.000421,0.001257,0.5291969999999999,419,791.7656373713382,0.5757328892387438,0.0
opencode__m_qwen_qwen3.5-plus-02-15__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_python__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,python,rust,opencode,0.000421,0.000421,0.17724099999999998,421,2375.2969121140145,1.0,0.0
